ID	label	text
307	Non-depression	С детства я люблю футбол. Самые теплые воспоминая – как мы с дедушкой в деревне садились перед телевизором, пили чай и смотрели матч любимой команды «Спартак». К сожалению, из-за проблем со здоровьем я не могу играть в футбол, но поставил цель – стать спортивным журналистом. В августе 2010 года впервые посетил матч, прочувствовал фантастическую атмосферу единения на трибунах и понял, что футбол – больше чем игра. В ноябре того же года руководство «Спартака» пригласило меня на VIP-трибуну, организовало автограф-сессию с игроками. После этого события я полюбил футбол с еще большей силой и начал ходить на все домашние матчи. У меня появилась возможность познакомиться не только с людьми с инвалидностью, но и с фанатским движением ФК «Спартак» Москва. Я смог изнутри посмотреть на их мир. И разрушил стереотип о том, что все фанаты – неадекватные. Эти молодые люди ночами, после обучения или работы, подготавливают перфомансы, пишут и разучивают новые речёвки. Вместе с болельщиками я езжу на выездные матчи, был Санкт-Петербурге, Краснодаре, Ярославле. Во время таких поездок забываешь о физических недостатках и просто наслаждаешься жизнью. На одном из выездов познакомился со «старой гвардией» спартаковских болельщиков. Например, один колясочник путешествует со «Спартаком» с 1972 года! Истории, рассказанные им, очень ценны для меня.Благодаря футболу я понял, что в мире не существует никаких границ, даже перед человеком на инвалидной коляске. Однажды, дедушка сделал мне потрясающий подарок! Мы побывали на одном из матчей ПСЖ в Париже. Футбольная атмосфера охватила весь город. За несколько кварталов до стадиона было слышно пение местных болельщиков под ритмичный стук барабанов. Фанаты приветствовали меня, улыбались, фотографировались и желали удачи. Когда мы приблизились к стадиону, эмоции охватили еще сильнее. Это что-то невероятное! Все вокруг наполнилось игрой.Но самые яркие впечатления у меня остались от Чемпионата мира 2018 года в России! Люди из всех уголков мира собрались в одной стране ради лучшей игры на планете. Они забыли о национальностях и политических конфликтах. В поездах, на площадях городов, на стадионах царила атмосфера доброты, единства и братства. Общение с позитивными иностранцами заряжало хорошим настроением. Я побывал на матчах в Москве, Санкт-Петербурге и Казани и в каждом городе, на любой улице испытывал подобные чувства. Абсолютно не важно мужчина ты или женщина, богатый или бедный, инвалид или здоровый, нас всех объединяет футбол. И я знаю это не понаслышке!
243	Non-depression	"Каждому человеку нужен мир. Мир- это весь земной шар, все страны и народы. Без него мы бы просто не смогли существовать. Но в мире, помимо нас, есть еще и другие люди, с которыми приходится постоянно контактировать: в магазине, в учебных заведениях, на улице и так далее. И чтобы в нашем мире царил покой, нужно уметь правильно взаимодействовать с людьми, проявлять уважение, соблюдать определенные нормы морали. Ведь, если все будут вести себя так, как хотят, то наступит хаус, который может перерасти в глобальные проблемы, например в войны. И люди уже не смогут быть счастливы. Каждый человек мечтает о том, чтобы жить спокойной жизнью, в хорошей обстановке. Гуманность - это то, что объединяет людей в критические дни. Нужно любить не только себя, но и всех окружающих. Ведь, как говорил М. Горький: ""Любовь к людям - это ведь и есть те крылья, на которых человек поднимается выше всего"" Еще одной нашей целью существования является сохранения окружающий среды. Ведь мир исчезнет, если планета будет загрязнена, не будет растений и так далее. Поэтому каждый должен понимать, что он ответственен перед природой: нельзя выбрасывать мусор в неположенных места, вырубать деревья и совершать другие поступки, которые будут портит нашу планету. Ведь наша земля очень хрупкая, слабая и беспомощная перед Вселенной. А если человек будет губить свой мир, то он превратиться в мусорную свалку . Нельзя отделять себя от других и думать, что если я один совершу что-то плохое, это никак не повлияет на мир. Ведь мы все -единое целое, общество,которое несет ответственность за все, что совершает.В заключении всего вышесказанного хочется еще раз отметить, как важно ответственно относится к своему миру и другим людям. Ведь, как сказал Ф.М. Достоевский: ""Каждый человек несет ответственность перед всеми людьми за всех и за все""."
73	Non-depression	"Я, другие и мир. Да, именно в таком порядке меня устраивает название. Именно другие отделяют меня от всего мира, от моего мира. Наверное, это из-за того, что я одна в другой стране, вдалеке от близких. Ожидала ли я такого от жизни? Нет, не думала, что вообще так получится, что я буду так сильно скучать. До последней минуты перед отлетом я не осознавала, какие тяжести меня ждут. ""Ну буду я в другой стране, вдалеке от родных, ну и что такого? Я же не насмерть еду, я же не навсегда. Я вернусь, а что там полгода-год, даже соскучиться не успею."" С такими мыслями я улетала на учебу в Москву. С первого же дня, с первой же минуты посадки самолёта мне хотелось вернуться. Нет, не потому что мне тут не понравилось. А потому что я оказалась совсем в другом мире, где нет родных мне людей. Как оказалась, для меня всем миром был тот кусочек на карте, в котором меня ждали с распростёртыми руками, но я этого не понимала. Но я сама выбрала этот путь, так что решила держать себя в руках и идти только вперёд. Ведь есть и другие миры. Я начала осваивать новый для меня мир. Он оказался красивым, но таким незнакомым. Все другое, даже люди. А чего я ожидала? С каждым днём я понимаю, что необходимо познать этот мир, и в этом мне помогут другие. Только недавно я начала знакомиться ближе со всеми в общежитии и в группе. Те же люди, такие же подростки, есть руки, ноги, глаза, все то же. Но что-то в них другое. Поначалу это что-то пугало, я не знала чего от них можно ожидать. Наверное, именно это вызывало во мне чувство страха. Тогда люди сами стали делать первые шаги ко мне, они пытались найти подход ко мне. Я стала замечать, что они тоже не знают, как со мной общаться, ведь не знают общество, в котором я выросла, мой менталитет. Так мы стали общаться на общие темы. Дальше было легче, все пошло само по себе. Я нашла друзей, и мир мне начал казаться понятнее. Нужно искать во всем плюсы, и не отстраняться."
301	Non-depression	Позиционирование себя как полноценного человека, восприятие других людей и мира в целом является очень важной проблемой каждого человека. Так у каждого человека свое мировоззрение, свой взгляд на жизнь, на себя. И я считаю, что это нормально, так как каждый из нас индивидуален. Нет похожих людей, а следовательно и мнение у каждого свое. Также как и каждый из нас имеет свои принципы, усвоенные в период социализации. И всё это очень интересно. Общаясь с незнакомым человеком, ты открываешь его мир, который никогда не встречал ранее. У каждого человека свой богатый внутренний мир, наполненный различными чувствами, переживаниями, знаниями и так далее, и тому подобное. Поэтому я очень люблю общаться с людьми, открывать их новые качества, достоинства и недостатки.Я люблю познавать мир также, как люблю познавать людей. То место, где мы находимся, называемое Землей, - оно прекрасно. Я обожаю прекрасные пейзажи лесов, полей, моря да и просто мегаполисов. Природа вдохновляет, дает сил, заставляет задуматься, помечтать, погрустить, порадоваться. Она мотивирует на совершение подвигов, достижение поставленных целей. Также как и люди, природа таит в себе кучу секретов и тайн. Некоторые из них непостижимы нам. Но, на мой взгляд наш мир не ограничивается лишь Землёй. Наш мир на самом деле - Вселенная. И мы в ней ничтожно малы и незначительны. Красота ее, как и размеры, восхищают и удивляют. Вселенная настолько велика, что наш мозг даже представить не может ее объемы. Также как и человек, и Земля, она хранит свои тайны и секреты, многие из которых, непостижимы человеком. Подводя итог вышесказанному, немогу не заметить огромную схожесть человека, Земли и Вселенной. Во вселенной есть миры, Земля к примеру. У Земли есть мир - это все живое, в том числе и мы. и в человеке тоже есть мир - это его душа. Значит можно с уверенностью сказать, что в каждом из нас находятся Вселенные, познать которые - наша цель.
60	Non-depression	"Я, другие и мир. Такая неопределенная тема. Мысли сразу разбегаются, и нельзя точно выразить о чём думаешь. Но первое, что приходит в голову, это одиночество. Я, другие и мир. Другие и мир - это большие, полные понятия, в то время как ""я"" - это единица. Один, среди многих. Я вообще не одинокий человек, но в голову приходит именно такие мысли. Ведь мы действительно одни. Да, кажется, что если что-то случится, у меня много друзей, но, когда действительно что-то происходит,можно столкнуться с тем, что никто не поможет, что ты в тупике, что никто тебя не поддержит. В жизни нужно надеяться только на себя. Может это слишком громко сказано, но, даже при самых тёплых отношениях, нужно держать в голове, что человек может исчезнуть, пропасть, уйти. И если ты будешь держаться за эти отношения, может быть очень больно. Поэтому нужно беречь себя, свои чувства от других. Даже самые близкие люди могут исчезнуть, могут ранить, могут даже не понять, что сделали. Возможно, в этой теме можно размышлять и о взаимодействии людей в мире. Да, отношения - это сложная наука. Не всякий психолог с ней справляется. А человек, который живёт в обществе, подавно. И тем не менее, наша жизнь состоит из сплетений людских чувств, эмоций, дел друг с другом. Именно поэтому, так важно уметь общаться. Казалось бы, что может быть проще? А нет. У каждого "" в голове"" своё, каждый судит со своей колокольни. Очень сложно порой что-то объяснить человеку, понять его и быть им понятым. Иногда, можно даже не узнать, что человек воспринял то, что ты сказал не так, как ты имел ввиду. Вообще, не знаю, что тут ещё писать, как-то мысль тяжело идёт, к новому году готовимся. Поэтому поздравляю с новым годом! Пусть в новом году Вы встретите море чудес, больше будете с родными и близкими, испытаете такие эмоции, которых до сих пор не испытывали, а ещё пусть жизнь никогда не надоедает и Вы находите всё новые и новые увлечения, которые держат Вас в отличном настроении! Life is perfect, isn't it?)"
128	Non-depression	К каждому человеку я отношусь изначально позитивно. У меня обычно положительные ожидания по отношению к каждому. Хотя я с первого взгляда считываю то, на что способен человек, насколько он добр или зол, насколько ленив или активен, общителен или замкнут и тому подобное. Вижу пределы его интеллекта. Пределы его мечтаний и потребностей тоже несложно разглядеть. Я вижу, порядочный или непорядочный человек. Но никогда заранее не остерегаюсь людей непорядочных или злых. Презумпция невиновности своеобразная срабатывает. Пока человек не совершил подлость, его не за что наказывать или отвергать. Стараюсь держать таких людей на расстоянии. Но не всегда получается, особенно, если этот человек со мной работает. Тем, кто поступил подло по отношению ко мне, я сочувствую. Потому что заранее знаю, что они потерпят наказание. Не от меня. Я в этот период занята исправлением того, что они совершили в моей жизни. Решаю проблемную задачу, как выстоять в трудной ситуации. Потом начисто забываю об обидчике (или обидчице). Позже они появляются в моей жизни неминуемо. И, как правило, с виноватым лицом или в трудной жизненной ситуации. Я им помогаю, если в моих силах им помочь. Выслушиваю их самооправдания. И вежливо прощаюсь, чтобы больше никогда не впускать их в свою жизнь. Такой я не была в детстве, в отрочестве, юности и даже в 30-летнем возрасте. Предательство, обман, подлость и тому подобное. я переживала остро. Однако опыт - главное мое достояние - позволяет укорачивать этап эмоционального переживания неприятных событий. С каждым разом короче. А в некоторых случаях вообще данный этап отсутствует. Считаю неисправимым событием только смерть. Со всеми остальными неприятностями можно работать. И работать успешно. Поэтому каждый мой день начинается в радостном настроении. И завершается с чувством полного удовлетворения. Самый большой кайф я испытываю от созидательной работы. И она у меня будет всегда, пока я живу.
157	Depression	«Я, другие, мир».Все меняется в этом мире. Меняюсь «я» и «другие», и сам «мир». Моя жизнь раскололась на два этапа: до болезни и после нее. До болезни я ощущала себя счастливой, радостной и энергичной девушкой. Сейчас во мне царят другие чувства. Я стала более холодная по отношению к себе и другим людям. Кажется, что мое счастье просто закончилось и больше не вернется ко мне. По мере того, как я поменялась сама из-за депрессии, поменялись и люди, окружающие меня. Раньше мой круг общения был очень велик и часто я притягивала людей к себе. Сейчас эти люди превратились в чужих мне людей. Осталась семья и любимый супруг. Мир, в котором мы живем, является очень динамичным. Я стараюсь видеть в мире только самое лучшее. Раньше я любила путешествовать и открывать новые города и страны. Сейчас я больше сосредоточена на своем внутреннем мире. Мне нужно найти этот мир в себе и найти свое место в этом мире.
294	Depression	Приветсвую, меня зовут Никита. Мне 20 полных лет. Учился сначала в общей школе, затем в лицее, а потом несколько лет в МГТУ имени Баумана. В школе у меня настоящих друзей не было, в лицее же у меня образовалась небольшая группа друзей, с которыми до сих пор мы поддерживаем отношения. В Вузе появилось еще несколько друзей, но с большинство отношения не клеились. Затем наступила депрессия и социофобия. В итоге я стал очень закрытым, устал от родных
67	Non-depression	В данном эссе я попытаюсь дать оценку своему характеру, выделю черты, которые мне в себе нравятся и не нравятся, а также расскажу про своё отношение к людям. Если говорить в целом, то я могу назвать наиболее ценную, на мой взгляд, и очень полезную как сейчас, во время учёбы, так и в будущем, черту характера. Если я берусь за какое-то задание, вне зависимости от того, насколько оно сложное, я стараюсь максимально приложить все усилия для того, чтобы его выполнить. В какой-то мере это можно назвать целеустремлённостью, или даже упёртостью. Но в любом случае, данная особенность помогает мне добиваться многих целей, что мне очень нравится. Однако, с целеустремлённостью, к сожалению, во мне борется лень. Иногда я ощущаю небольшую апатию. Что мне абсолютно ничего не хочется делать. Порой я не могу себя даже заставить сделать какое-то дело. В таких случаях приходится переносить его на другой день, либо просто не делать. Безусловно, я замечаю в себе это качество, и, конечно, я пытаюсь с ним бороться. Что касается моего отношения к людям, то тут всё сложно. С друзьями я открытая, общительная, но так лишь с родными, друзьями, и людьми, которых я в принципе хорошо знаю. С другими людьми мне тяжело общаться. Я могу контактировать с людьми по необходимости, например, с продавцом в магазине. Однако, вступить в какой-либо диалог, не касающийся дела, мне не представляется возможным. Я боюсь людей, поскольку не знаю, что от них ожидать. Таким образом, мне относительно тяжело заводить новые знакомства. Но это меня нисколько не огорчает, так как знакомства с людьми мне заменяют знакомства с книгами. Я очень люблю читать, для меня это очень важно, не могу представить, что бы я делала, если бы меня в принципе лишили возможности читать. Таким образом, я социопат для чужих людей, и экстраверт для своих.
117	Non-depression	"Как много всего нас окружает, и как мало мы замечаем.Чаще всего люди обращают внимание лишь на себя, на свои проблемы. Даже если кинуться им в ноги с мольбами о помощи, то скорее всего через вас просто перешагнут. Выстраивая вокруг себя стену, человек прячется от внешнего мира. Его полностью устраивает эта иллюзия спокойствия. Действительно, жить по принципу ""моя хата с краю"" очень легко, но, на мой взгляд, мы достойны лучшего . Скиньте оковы, сломайте барьеры . Как много прекрасного вокруг. Вы замечали как высоко летают птицы? А как, вальсируя, кружатся снежинки в воздухе? А как просто быть счастливым ?С миром нужно уметь взаимодействовать . Не бойтесь неизвестности . Как говорится, ""кто не рискует, тот не пьёт шампанского"". Не страшитесь тяжёлой работы или потерь . Всё восполняется. Если сегодня плохо, то завтра будет хорошо . Этот принцип работает и в обратную сторону, но даже неприятности надо воспринимать с улыбкой на лице . Это ваш жизненный опыт, ваши приключения . Улыбнитесь, ведь улыбка это первый шаг к счастью . Я всегда улыбаюсь. Меня трудно увидеть грустной, ведь даже тогда, когда у меня случаются какие-то неприятности, улыбка меня не покидает. Я считаю, что она помогает преодолеть мне все трудности. Улыбаясь, я верю в то, что всё будет хорошо. Проблемы были, есть и будут у всех постоянно, и все они решаемы. Из каждой сложившейся ситуации есть выход. Возможно, кто-то посчитает меня чересчур оптимистичной, может это и так, но с уверенностью могу сказать, что я счастлива. И я не забываю делиться своим счастьем с окружающими. Своей искренностью, своими шутками и своей улыбкой я поднимаю людям настроение. И, как следствие, меня окружают только счастливые люди. Я сама создаю свой мир, мир счастливых людей. А если вы ходите угрюмый, не замечая вокруг ни красоту природы, ни мощь городов, ни людские души, то и жизнь ваша будет похожа на ""день сурка"". Задумайтесь."
